00481,BT PANJANG TEMP BUS PK
01012,Hotel Grand Pacific, Grand Pacific对面
01013,St. Joseph's Ch, 大牌Ch对面
01019,Bras Basah Cplx, Basah Cplx对面
01029,Cosmic Insurance Bldg, Insurance Bldg对面
01039,Nth Bridge Commercial Cplx, Nth Bridge Commercial Cplx
01059,Bugis Stn, Bugis Stn
01109,Queen St Ter, St Ter对面
01112,Opp Bugis Junction, Bugis Junction对面
01113,Bugis Stn, Bugis Stn
01119,Bugis Junction, Bugis Junction
01121,Stamford Pr Sch, Pr Sch对面
01129,Opp Stamford Pr Sch, Opp Stamford Pr Sch
01139,Parkview Sq, Parkview Sq
01211,Opp Blk 461, 大牌461对面
01219,Blk 461, 大牌461
01229,Bef Sultan Mque, Sultan Mque对面
01231,Opp Textile Ctr, Textile Ctr对面
01239,Sultan Plaza, Sultan Plaza
01311,Lavender Stn Exit B, Lavender Stn
01319,Lavender Stn Exit A/ICA, Lavender Stn
01329,Blk 8, 大牌8
01339,Bef Crawford Bridge, Crawford Bridge对面
01341,Southbank, 大牌Southbank
01349,Opp Blk 4, 大牌4对面
01411,Opp St. John HQ, Keypoint Bldg
01419,St. John HQ, St. John HQ
01421,Opp Golden Mile Cplx, Golden Mile Clpx对面
01429,Golden Mile Cplx, Golden Mile Cplx
01511,Opp The Gateway, The Gateway对面
01519,The Gateway, The Gateway
01521,Opp Plaza Parkroyal, Plaza Parkroyal对面
01529,Plaza Parkroyal, Plaza Parkroyal
01541,Bugis Stn Exit D, Beach Rd对面
01549,Near Bali Lane, Bali Lane对面
01559,Landmark Village Hotel, Village Hotel对面
01611,Raffles Hotel, 莱佛士酒店
01619,Opp Raffles Hotel, 莱佛士酒店对面
01621,Opp Shaw Twrs, 邵氏大厦对面
01629,Shaw Twrs, 邵氏大厦
01631,Aft Beach Rd, Beach Rd对面
01639,Bef Beach Rd, Beach Rd对面
02029,Opp S'pore Cricket Club, Opp S'pore Cricket Club
02049,Raffles Hotel, 莱佛士酒店
02051,Seating Gallery, Seating Gallery
02061,The Esplanade, The Esplanade
02089,Pan Pacific Hotel, Pacific Hotel对面
02099,Marina Ctr Ter, Ctr Ter对面
02101,AFT S'PORE FLYER, Temasek Ave对面
02111,Esplanade Bridge, Esplanade Bridge
02119,Opp War Memorial Pk, Raffles Link对面
02141,Suntec Twr Two, Twr Two对面
02149,Suntec Twr Three, Twr Three对面
02151,Suntec Convention Ctr, Convention Ctr对面
02159,Opp Suntec Convention Ctr, Opp Suntec Convention Ctr
02161,Promenade Stn, Millenia Twr对面
02169,Promenade Stn Exit B, Centennial Twr
02171,Opp The Ritz-Carlton, 大牌Carlton对面
02181,Supreme Ct, Supreme Ct
03011,Fullerton Sq, Fullerton Sq
03019,OUE Bayfront, 大牌Bayfront
03021,Prudential Twr, Prudential Twr
03031,Raffles Pl Stn Exit F, 大牌Twr对面
03041,Telok Ayer Stn Exit A, 大牌Bldg对面
03059,One Raffles Quay, Raffles Quay对面
03071,OPP SO SOFITEL S'PORE, Opp The Ogilvy Ctr
03111,Aft Capital Twr, Capital Twr对面
03129,UIC Bldg, 大牌Bldg
03151,Opp GB Bldg, 大牌Bldg对面
03217,Opp AXA Twr, Temasek Twr对面
03218,Opp MAS Bldg, 大牌Bldg对面
03222,Hub Synergy Pt, Hub Synergy Pt
03223,Intl Plaza, Intl 大厦
03239,Shenton Way Ter, Way Ter对面
03241,Mapletree Anson
03331,Bef Marina Gdns Dr, Bef Marina Gdns Dr
03339,Aft Marina Gdns Dr, 义顺2道之后
03341,Bef Gdns by the Bay, Gdns by the Bay对面
03349,Aft Gdns by the Bay, Gdns by the Bay对面
03369,Marina Barrage, Marina Barrage
03371,Gdns by the Bay, Gdns by the Bay
03381,The Sail, The Sail
03391,Marina Bay Financial Ctr, Marina Bay Financial Ctr
03411,Opp Marina Sth Pier, Opp Marina Sth Pier
03419,Marina Sth Pier, Sth Pier对面
03421,Marina Bay Cruise Ctr, Marina Bay Cruise Ctr
03501,Marina Bay Sands Theatre, 滨海湾金沙剧场
03509,Marina Bay Sands Hotel, 滨海湾金沙酒店
03511,Marina Bay Sands MICE, 滨海湾金沙MICE
03519,Opp Marina Bay Sands MICE, 滨海湾沙MICE对面
03529,Downtown Stn, Downtown Stn
03539,Marina Bay Stn, Bay Stn对面
04019,OPP BENCOOLEN STN EXIT B
04029,BEF BENCOOLEN STN EXIT A
04111,Capitol Bldg, Capitol Bldg
04121,SMU, SMU
04142,Armenian Ch, Armenian Ch
04143,Stamford Ct, Stamford Ct
04149,Grand Pk City Hall, Grand Park City Hall
04151,Cath Of The Good Shepherd, The Good Shepherd对面
04159,Aft Chijmes, 义顺2道之后
04167,City Hall Stn Exit B, 大牌Cath对面
04168,Aft City Hall Stn Exit B, Peninsula Plaza对面
04179,AFT BRAS BASAH STN EXIT A, NTUC Income中心
04211,Clarke Quay, Clarke Quay
04219,Opp Clarke Quay, Clarke Quay对面
04222,Clarke Quay Stn Exit E, Quay Stn对面
04223,Old Hill St Police Stn, Hill St Police Stn对面
04229,High St Ctr, St Ctr对面
04239,Clarke Quay Stn, Quay Stn对面
04249,Opp The Treasury, The Treasury对面
04251,Opp High St Ctr, Opp High St Ctr
04311,Aft River Valley Rd, 义顺2道之后
04321,Shell HSE, Shell Hse
