No,Busstop name,Street,公交车站站名,街道名
84271,Opp Goldbell Svc Ctr,Bedok Nth Ave 4,黄金铃铛中心对面,勿洛北4道
84279,Goldbell Svc Ctr,Bedok Nth Ave 4,黄金铃铛 Svc 中心,勿洛北4道
66099,Opp Golden Hill Est,Ang Mo Kio Ave 1,黄金山东对面,宏茂桥1道
66091,Golden Hill Est,Ang Mo Kio Ave 1,黄金山东,宏茂桥1道
50221,Opp Balestier Twrs,Balestier Rd,马里士他对面,马里士他路
50211,Opp Balestier Pt,Balestier Rd,马里士他商场对面,马里士他路
50191,Bef Balestier Plaza,Balestier Rd,马里士他商场之前,马里士他路
50199,HMI Balestier Hosp,Balestier Rd,马里士他医院对面,马里士他路
50229,Balestier Twrs,Balestier Rd,马里士他,马里士他路
50161,Balestier Ctr,Balestier Rd,马里士中心,马里士他路
46119,Marsiling CC,Admiralty Rd,马西岭社区中心,海军部路
46131,Aft Marsiling Lane,Admiralty Rd,马西岭巷之后,海军部路
84341,Opp Fengshan Pr Sch,Bedok Nth Rd,风山小学对面,勿洛北路
84349,Fengshan Pr Sch,Bedok Nth Rd,风山小学,勿洛北路
55169,Mkt/FC,Ang Mo Kio St 61,集市/FC,宏茂桥61街
81081,Opp Aljunied Stn,Aljunied Rd,阿裕尼车站对面,阿裕尼路
81089,Aljunied Stn,Aljunied Rd,阿裕尼车站,阿裕尼路
70031,Opp Aljunied Pk,Aljunied Rd,阿裕尼公园对面,阿裕尼路
70039,Aljunied Pk,Aljunied Rd,阿裕尼公园,阿裕尼路
47809,Opp Sunshine Bakery,Admiralty Rd West,阳光烘培对面,海军部西路
47801,Sunshine Bakery,Admiralty Rd West,阳光烘培,海军部西路
53271,Opp Kuo Chuan Presby Sch,Bishan St 13,阔穿Presby学校对面,碧山13街
53279,Kuo Chuan Presby Sch,Bishan St 13,阔穿Presby学校,碧山13街
17131,Clementi Flyover,AYE,金文泰立交桥,亚逸拉惹高速公路
17139,Aft Clementi Swim Cplx,AYE,金文泰游泳池之后,亚逸拉惹高速公路
17141,Clementi Stadium,AYE,金文泰体育场,亚逸拉惹高速公路
1621,Opp Shaw Twrs,Beach Rd,邵氏大厦对面,美芝路
1629,Shaw Twrs,Beach Rd,邵氏大厦,美芝路
50201,Shaw Plaza,Balestier Rd,邵氏商场,马里士他路
23471,Aft Benoi Rd,Benoi Sector,费耐路之后,费耐段
23479,Bef Benoi Rd,Benoi Sector,费耐路之前,费耐段
23321,Bef Benoi Lane,Benoi Rd,费耐线之前,费耐路
23301,Bef Benoi Basin,Benoi Rd,费耐水槽之前,费耐路
23441,Opp Benoi Pl,Benoi Rd,费耐Pl对面,费耐路
23449,Benoi Pl,Benoi Rd,费耐Pl,费耐路
95131,Police Pass Off,Airline Rd,警察办公室,航空公司路
95139,Police Pass Off,Airline Rd,警察办公室,航空公司路
23379,Opp Joo Koon Int,Benoi Rd,裕群车站对面,费耐路
23371,Bef Joo Koon Int,Benoi Rd,裕群车站之前,费耐路
28379,Aft Jurong West St 51,Boon Lay Way,裕廊西51道之后,文礼大道
28371,Bef Jurong West St 51,Boon Lay Way,裕廊西51道之前,文礼大道
