Number,Name,Name_chn,Latitude,Longitude,ZIP,Street,Description,mapchnX,mapchnY,mapstatusX,mapstatusY
EW33,Tuas Link,大士连路,1.346900000,103.637500000,,,,156,742,258,721
EW32,Tuas West Road,大士西路,1.338800000,103.646700000,,,,154,816,284,797
EW31,Tuas Crescent,大士弯,1.331000000,103.654700000,,,,153,889,273,865
EW30,Gul Circle,卡尔圈,1.321200000,103.665700000,,,,152,959,245,939
EW29,Joon Koon,裕群站,1.327706000,103.678489000,629116,91 Joon Koon Cir,,152,1025,256,1005
EW28,Pioneer,先驱站,1.337402000,103.697157000,648310,31 Jurong West Street 63,,152,1096,221,1079
EW27,Boon Lay,文礼站,1.338854000,103.705532000,649846,,,140,1188,142,1216
EW26,Lake Side,湖畔站,1.344212000,103.720403000,649845,201 Boon Lay Way,,257,1178,258,1211
EW25,Chinese Garden,裕华园站,1.342539000,103.732505000,609959,151 Boon Lay Way,,364,1210,364,1238
EW24,Jurong East,裕廊东站,1.334387000,103.741388000,609649,155 Jurong Gateway Rd,,525,1100,526,1072
EW23,Clementi,金文泰站,1.315424000,103.765206000,129580,3150 Commonwealth Ave W,,684,1151,568,1180
EW22,Dover,杜弗站,1.311340000,103.778681000,,200 Commonwealth Ave W,,710,1211,614,1239
EW21,Buona Vista,波那维斯达站,1.307435000,103.789861000,139345,100 N Buona Vista Rd,,640,1277,577,1296
EW20,Commonwealth,联邦站,1.302566000,103.798229000,149735,375 Commonwealth Ave,,854,1321,946,1323
EW19,Queenstown,女皇镇站,1.294511000,103.806115000,,301 Commonwealth Ave,,761,1379,905,1388
EW18,Redhill,红山站,1.289737000,103.816715000,158792,920 Tiong Bahru Rd,,764,1451,961,1453
EW17,Tiong Bahru,中巴鲁站,1.286133000,103.827079000,168732,302 Tiong Bahru Rd,,777,1505,1009,1503
EW16,Outram Park,欧南园站,1.281350000,103.838838000,169037,10 Outram Rd,,814,1575,917,1601
EW15,Tanjong Pagar,丹戎巴葛站,1.276491000,103.845726000,069119,,,1100,1720,1196,1684
EW14,Raffles Place,莱佛士坊站,1.283952000,103.851281000,048980,22 Malacca St,,1266,1644,1442,1624
EW13,City Hall,政府大厦站,1.293241000,103.852054000,179100,150 N Bridge Rd,,1316,1539,1494,1580
EW12,Bugis,武吉士站,1.300728000,103.856409000,188062,750 Victoria St,,1645,1395,1652,1437
EW11,Lavender,劳明达站,1.307191000,103.862991000,,,,1709,1340,1765,1364
EW10,Kallang,加冷站,1.311482000,103.871392000,,,,1756,1284,1826,1307
EW9,Aljunied,阿裕尼站,1.316512000,103.882893000,,,,1810,1228,1864,1252
EW8,Paya Lebar,巴耶利芭站,1.318121000,103.893139000,,Tg Katong Rd,,1822,1133,1778,1177
EW7,Eunos,友诺士站,1.319751000,103.903106000,409423,30 Eunos Crescent,,1950,1160,2026,1192
EW6,Kembangan,景万岸站,1.320963000,103.912826000,416551,55 Sims Ave E,,2032,1251,2108,1253
EW5,Bedok,勿洛站,1.324042000,103.930025000,,,,2133,1165,2204,1168
