YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2018-09,WEEKENDS/HOLIDAY,14,TRAIN,CC16,5359,4230
2018-09,WEEKDAY,14,TRAIN,CC16,8291,7520
2018-09,WEEKENDS/HOLIDAY,10,TRAIN,EW11,13807,11354
2018-09,WEEKDAY,10,TRAIN,EW11,25165,24264
2018-09,WEEKENDS/HOLIDAY,6,TRAIN,CC1-NE6-NS24,1546,2723
2018-09,WEEKDAY,6,TRAIN,CC1-NE6-NS24,4085,11543
2018-09,WEEKENDS/HOLIDAY,0,TRAIN,EW19,41,690
2018-09,WEEKDAY,0,TRAIN,EW19,89,833
2018-09,WEEKENDS/HOLIDAY,10,TRAIN,EW21,4822,5173
2018-09,WEEKDAY,10,TRAIN,EW21,5599,7955
2018-09,WEEKENDS/HOLIDAY,10,TRAIN,CC22,4908,5019
2018-09,WEEKDAY,10,TRAIN,CC22,8661,15122
2018-09,WEEKDAY,8,TRAIN,CC8,30137,9535
2018-09,WEEKENDS/HOLIDAY,8,TRAIN,CC8,3302,2333
2018-09,WEEKDAY,17,TRAIN,NE7,37061,29875
2018-09,WEEKDAY,17,TRAIN,DT12,12259,6238
2018-09,WEEKENDS/HOLIDAY,17,TRAIN,DT12,2372,5853
2018-09,WEEKENDS/HOLIDAY,17,TRAIN,NE7,20714,24998
2018-09,WEEKENDS/HOLIDAY,17,TRAIN,EW33,2100,1547
2018-09,WEEKDAY,17,TRAIN,EW33,8679,2419
2018-09,WEEKENDS/HOLIDAY,11,TRAIN,NS7,8125,11684
2018-09,WEEKDAY,11,TRAIN,NS7,15769,14772
2018-09,WEEKDAY,16,TRAIN,SW4,510,618
2018-09,WEEKENDS/HOLIDAY,16,TRAIN,SW4,606,279
2018-09,WEEKENDS/HOLIDAY,10,TRAIN,CC5,1545,2403
2018-09,WEEKDAY,10,TRAIN,CC5,2917,4746
2018-09,WEEKENDS/HOLIDAY,13,TRAIN,CC23,2656,2881
2018-09,WEEKDAY,13,TRAIN,CC23,15328,20800
2018-09,WEEKDAY,22,TRAIN,EW33,1373,2017
2018-09,WEEKENDS/HOLIDAY,22,TRAIN,EW33,708,2406
2018-09,WEEKENDS/HOLIDAY,14,TRAIN,CC21,6018,5945
2018-09,WEEKDAY,14,TRAIN,CC21,9813,9304
2018-09,WEEKENDS/HOLIDAY,18,TRAIN,EW24-NS1,62869,64493
2018-09,WEEKDAY,18,TRAIN,EW24-NS1,259781,201635
2018-09,WEEKDAY,7,TRAIN,NE10,26769,33696
2018-09,WEEKENDS/HOLIDAY,7,TRAIN,NE10,4289,3553
2018-09,WEEKENDS/HOLIDAY,8,TRAIN,EW22,3068,3426
2018-09,WEEKDAY,8,TRAIN,EW22,19070,30274
2018-09,WEEKDAY,22,TRAIN,NS28,920,567
2018-09,WEEKENDS/HOLIDAY,22,TRAIN,NS28,500,465
2018-09,WEEKENDS/HOLIDAY,0,TRAIN,DT10,16,205
2018-09,WEEKDAY,0,TRAIN,DT10,22,189
2018-09,WEEKDAY,10,TRAIN,EW16,5915,10004
2018-09,WEEKENDS/HOLIDAY,10,TRAIN,EW16,2249,3696
2018-09,WEEKENDS/HOLIDAY,10,TRAIN,NE3,6726,6478
2018-09,WEEKDAY,10,TRAIN,NE3,16765,23978
2018-09,WEEKDAY,9,TRAIN,CC14,13455,8126
2018-09,WEEKENDS/HOLIDAY,9,TRAIN,CC14,4132,1499
2018-09,WEEKDAY,14,TRAIN,EW27,35409,42486
2018-09,WEEKENDS/HOLIDAY,14,TRAIN,EW27,28907,28139
2018-09,WEEKENDS/HOLIDAY,0,TRAIN,NS27,10,74
2018-09,WEEKDAY,0,TRAIN,CE2,0,6
2018-09,WEEKDAY,0,TRAIN,NS27,20,94
2018-09,WEEKENDS/HOLIDAY,0,TRAIN,CE2,1,13
2018-09,WEEKDAY,18,TRAIN,DT27,30828,15130
2018-09,WEEKENDS/HOLIDAY,18,TRAIN,DT27,4688,3704
2018-09,WEEKENDS/HOLIDAY,0,TRAIN,NS8,801,1776
2018-09,WEEKDAY,0,TRAIN,NS8,790,3007
2018-09,WEEKENDS/HOLIDAY,18,TRAIN,NS14,14650,18114
2018-09,WEEKDAY,18,TRAIN,NS14,42578,89554
2018-09,WEEKDAY,12,TRAIN,EW17,24525,25655
2018-09,WEEKENDS/HOLIDAY,12,TRAIN,EW17,16194,14579
2018-09,WEEKENDS/HOLIDAY,0,TRAIN,NE17-PTC,320,2288
2018-09,WEEKDAY,0,TRAIN,NE17-PTC,425,3802
2018-09,WEEKDAY,13,TRAIN,BP12,3711,3066
2018-09,WEEKENDS/HOLIDAY,13,TRAIN,BP12,1882,1579
2018-09,WEEKDAY,14,TRAIN,NS17,17655,9304
2018-09,WEEKENDS/HOLIDAY,14,TRAIN,CC15,20072,21130
2018-09,WEEKENDS/HOLIDAY,14,TRAIN,NS17,9500,5298
2018-09,WEEKDAY,14,TRAIN,CC15,33281,37227
2018-09,WEEKENDS/HOLIDAY,16,TRAIN,DT26,1975,1579
2018-09,WEEKENDS/HOLIDAY,16,TRAIN,CC10,5299,4539
2018-09,WEEKDAY,16,TRAIN,CC10,11052,8002
2018-09,WEEKDAY,16,TRAIN,DT26,3183,3170
2018-09,WEEKENDS/HOLIDAY,6,TRAIN,DT28,3497,881
2018-09,WEEKDAY,6,TRAIN,DT28,14216,5378
2018-09,WEEKDAY,5,TRAIN,DT7,242,86
2018-09,WEEKENDS/HOLIDAY,5,TRAIN,DT7,75,6
2018-09,WEEKDAY,11,TRAIN,PW5,1418,900
2018-09,WEEKENDS/HOLIDAY,11,TRAIN,PW5,1350,597
2018-09,WEEKDAY,18,TRAIN,BP3,4839,12442
2018-09,WEEKENDS/HOLIDAY,18,TRAIN,BP3,2429,2792
2018-09,WEEKENDS/HOLIDAY,22,TRAIN,CC28,647,2239
2018-09,WEEKDAY,22,TRAIN,CC28,1182,4743
2018-09,WEEKDAY,13,TRAIN,SW6,3948,2769
2018-09,WEEKENDS/HOLIDAY,13,TRAIN,SW6,1854,1538
2018-09,WEEKDAY,17,TRAIN,DT21,16026,8850
2018-09,WEEKENDS/HOLIDAY,17,TRAIN,DT21,5751,3838
2018-09,WEEKDAY,19,TRAIN,NE12,37355,73604
2018-09,WEEKDAY,19,TRAIN,CC13,34453,90950
2018-09,WEEKENDS/HOLIDAY,19,TRAIN,NE12,17205,19974
2018-09,WEEKENDS/HOLIDAY,19,TRAIN,CC13,16498,23573
2018-09,WEEKENDS/HOLIDAY,6,TRAIN,EW31,432,661
2018-09,WEEKDAY,6,TRAIN,EW31,1584,5458
2018-09,WEEKENDS/HOLIDAY,15,TRAIN,EW7,8188,8321
2018-09,WEEKDAY,15,TRAIN,EW7,11239,15527
2018-09,WEEKDAY,7,TRAIN,BP10,15256,3182
2018-09,WEEKENDS/HOLIDAY,7,TRAIN,BP10,1261,449
2018-09,WEEKENDS/HOLIDAY,15,TRAIN,NE10,6541,6516
2018-09,WEEKDAY,15,TRAIN,NE10,13661,12127
2018-09,WEEKENDS/HOLIDAY,18,TRAIN,EW22,3849,3418
2018-09,WEEKDAY,18,TRAIN,EW22,24471,24302
2018-09,WEEKDAY,15,TRAIN,CC25,5728,4651
2018-09,WEEKENDS/HOLIDAY,15,TRAIN,CC25,4046,3035
2018-09,WEEKENDS/HOLIDAY,12,TRAIN,CE1,11627,22413
2018-09,WEEKDAY,12,TRAIN,CE1,18543,27787
2018-09,WEEKDAY,12,TRAIN,DT16,873,5647
2018-09,WEEKENDS/HOLIDAY,12,TRAIN,DT16,410,5758
2018-09,WEEKENDS/HOLIDAY,10,TRAIN,SW6,2281,764
2018-09,WEEKDAY,10,TRAIN,SW6,3627,1386
2018-09,WEEKDAY,17,TRAIN,DT31,8647,13235
2018-09,WEEKENDS/HOLIDAY,17,TRAIN,DT31,4363,4419
2018-09,WEEKENDS/HOLIDAY,15,TRAIN,CC14,2847,3243
2018-09,WEEKDAY,15,TRAIN,CC14,10493,7484
2018-09,WEEKDAY,17,TRAIN,NE12,34760,48314
2018-09,WEEKENDS/HOLIDAY,17,TRAIN,NE12,20151,20550
2018-09,WEEKDAY,17,TRAIN,CC13,32934,63065
2018-09,WEEKENDS/HOLIDAY,17,TRAIN,CC13,19377,24881
2018-09,WEEKDAY,8,TRAIN,NS21,57998,94702
2018-09,WEEKENDS/HOLIDAY,8,TRAIN,NS21,10109,11778
2018-09,WEEKENDS/HOLIDAY,8,TRAIN,DT11,9541,11075
2018-09,WEEKDAY,8,TRAIN,DT11,81283,69605
2018-09,WEEKDAY,0,TRAIN,NE16-STC,592,5043
2018-09,WEEKENDS/HOLIDAY,0,TRAIN,NE16-STC,325,2603
2018-09,WEEKDAY,23,TRAIN,CC23,2932,529
2018-09,WEEKENDS/HOLIDAY,23,TRAIN,CC23,686,303
2018-09,WEEKDAY,22,TRAIN,DT13,10076,6191
2018-09,WEEKENDS/HOLIDAY,22,TRAIN,DT13,4213,3332
2018-09,WEEKENDS/HOLIDAY,23,TRAIN,NE14,1555,11210
2018-09,WEEKDAY,23,TRAIN,NE14,2859,21491
2018-09,WEEKDAY,22,TRAIN,NS9,25390,60055
2018-09,WEEKENDS/HOLIDAY,22,TRAIN,NS9,15538,25583
2018-09,WEEKENDS/HOLIDAY,12,TRAIN,DT22,3656,4945
2018-09,WEEKDAY,12,TRAIN,DT22,5660,7279
2018-09,WEEKDAY,18,TRAIN,DT28,35186,22801
2018-09,WEEKENDS/HOLIDAY,18,TRAIN,DT28,7573,5656
2018-09,WEEKENDS/HOLIDAY,12,TRAIN,DT34,2812,1292
2018-09,WEEKDAY,12,TRAIN,DT34,4787,2903
2018-09,WEEKDAY,9,TRAIN,SW7,4819,1305
2018-09,WEEKENDS/HOLIDAY,9,TRAIN,SW7,2090,827
2018-09,WEEKDAY,12,TRAIN,NE17-PTC,31005,29882
2018-09,WEEKENDS/HOLIDAY,12,TRAIN,NE17-PTC,25297,21693
2018-09,WEEKENDS/HOLIDAY,19,TRAIN,NE8,31034,36420
2018-09,WEEKDAY,19,TRAIN,NE8,38855,66219
2018-09,WEEKENDS/HOLIDAY,21,TRAIN,CC24,5043,2756
2018-09,WEEKDAY,21,TRAIN,CC24,32058,4800
2018-09,WEEKENDS/HOLIDAY,12,TRAIN,CC9,10843,8372
2018-09,WEEKDAY,12,TRAIN,EW8,19923,27621
2018-09,WEEKDAY,12,TRAIN,CC9,14144,13338
2018-09,WEEKENDS/HOLIDAY,12,TRAIN,EW8,15512,20960
2018-09,WEEKDAY,20,TRAIN,BP5,2055,2656
2018-09,WEEKENDS/HOLIDAY,20,TRAIN,BP5,961,1068
2018-09,WEEKDAY,12,TRAIN,EW15,46395,47666
2018-09,WEEKENDS/HOLIDAY,12,TRAIN,EW15,11614,13941
2018-09,WEEKENDS/HOLIDAY,7,TRAIN,SW4,356,585
2018-09,WEEKDAY,7,TRAIN,SW4,2822,2441
2018-09,WEEKDAY,22,TRAIN,DT33,4093,28208
2018-09,WEEKENDS/HOLIDAY,22,TRAIN,DT33,2139,12724
2018-09,WEEKDAY,11,TRAIN,EW24-NS1,39333,68995
2018-09,WEEKENDS/HOLIDAY,11,TRAIN,EW24-NS1,27554,52698
2018-09,WEEKENDS/HOLIDAY,21,TRAIN,NS13,21497,32987
2018-09,WEEKDAY,21,TRAIN,NS13,43589,79802
2018-09,WEEKENDS/HOLIDAY,5,TRAIN,NS13,5458,904
2018-09,WEEKDAY,5,TRAIN,NS13,24471,3144
2018-09,WEEKENDS/HOLIDAY,5,TRAIN,PW6,120,1
2018-09,WEEKDAY,5,TRAIN,PW6,631,1
2018-09,WEEKENDS/HOLIDAY,13,TRAIN,CC21,5833,6497
2018-09,WEEKDAY,13,TRAIN,CC21,14075,9600
2018-09,WEEKDAY,14,TRAIN,PE7,3274,4036
2018-09,WEEKENDS/HOLIDAY,14,TRAIN,PE7,2162,2340
2018-09,WEEKDAY,10,TRAIN,CC20,5096,3220
2018-09,WEEKENDS/HOLIDAY,10,TRAIN,CC20,3432,2491
2018-09,WEEKENDS/HOLIDAY,21,TRAIN,EW25,3629,4273
2018-09,WEEKDAY,21,TRAIN,EW25,4614,11170
2018-09,WEEKENDS/HOLIDAY,16,TRAIN,CC2,4528,3878
2018-09,WEEKDAY,16,TRAIN,CC2,9539,5880
2018-09,WEEKDAY,14,TRAIN,CC12,8777,4511
2018-09,WEEKENDS/HOLIDAY,14,TRAIN,CC12,2760,2761
2018-09,WEEKDAY,16,TRAIN,NS20,61433,33547
2018-09,WEEKENDS/HOLIDAY,16,TRAIN,NS20,23374,18918
2018-09,WEEKENDS/HOLIDAY,16,TRAIN,NS14,13961,13758
2018-09,WEEKDAY,16,TRAIN,NS14,22722,27229
2018-09,WEEKDAY,11,TRAIN,NS15,20091,12545
2018-09,WEEKENDS/HOLIDAY,11,TRAIN,NS15,10337,5518
2018-09,WEEKENDS/HOLIDAY,5,TRAIN,EW21,396,15
2018-09,WEEKDAY,5,TRAIN,EW21,1197,221
2018-09,WEEKDAY,5,TRAIN,CC22,1148,674
2018-09,WEEKENDS/HOLIDAY,5,TRAIN,CC22,448,147
2018-09,WEEKENDS/HOLIDAY,11,TRAIN,BP4,1288,708
2018-09,WEEKDAY,11,TRAIN,BP4,3966,2329
2018-09,WEEKENDS/HOLIDAY,11,TRAIN,CE2,183,417
2018-09,WEEKENDS/HOLIDAY,11,TRAIN,NS27,1024,2154
2018-09,WEEKDAY,11,TRAIN,NS27,5234,4228
2018-09,WEEKDAY,11,TRAIN,CE2,164,380
2018-09,WEEKDAY,9,TRAIN,NS17,36163,7097
2018-09,WEEKENDS/HOLIDAY,9,TRAIN,NS17,12153,3435
2018-09,WEEKENDS/HOLIDAY,9,TRAIN,CC15,11745,13232
2018-09,WEEKDAY,9,TRAIN,CC15,33986,26889
2018-09,WEEKENDS/HOLIDAY,6,TRAIN,EW10,4447,1003
2018-09,WEEKDAY,6,TRAIN,EW10,19957,3263
2018-09,WEEKDAY,8,TRAIN,NS28,1725,3113
2018-09,WEEKENDS/HOLIDAY,8,TRAIN,NS28,546,1757
2018-09,WEEKENDS/HOLIDAY,7,TRAIN,EW33,1411,912
2018-09,WEEKDAY,7,TRAIN,EW33,4779,9434
2018-09,WEEKENDS/HOLIDAY,18,TRAIN,BP12,1683,1794
2018-09,WEEKDAY,18,TRAIN,BP12,5041,9090
2018-09,WEEKENDS/HOLIDAY,0,TRAIN,EW14-NS26,3989,310
2018-09,WEEKDAY,0,TRAIN,EW14-NS26,3409,314
2018-09,WEEKDAY,0,TRAIN,CG2,181,967
2018-09,WEEKENDS/HOLIDAY,0,TRAIN,CG2,142,504
2018-09,WEEKENDS/HOLIDAY,16,TRAIN,NE5,9035,8785
2018-09,WEEKDAY,16,TRAIN,NE5,15633,15080
2018-09,WEEKENDS/HOLIDAY,11,TRAIN,NE16-STC,27549,20661
2018-09,WEEKDAY,11,TRAIN,NE16-STC,38162,26904
2018-09,WEEKDAY,13,TRAIN,EW9,21942,16162
2018-09,WEEKENDS/HOLIDAY,13,TRAIN,EW9,16261,14042
