YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2019-01,WEEKENDS/HOLIDAY,11,TRAIN,NS7,7997,10996
2019-01,WEEKDAY,11,TRAIN,NS7,16331,14597
2019-01,WEEKDAY,16,TRAIN,SW4,598,793
2019-01,WEEKENDS/HOLIDAY,16,TRAIN,SW4,459,353
2019-01,WEEKDAY,10,TRAIN,CC5,3152,4671
2019-01,WEEKENDS/HOLIDAY,10,TRAIN,CC5,1504,1754
2019-01,WEEKDAY,13,TRAIN,CC23,16067,23295
2019-01,WEEKENDS/HOLIDAY,13,TRAIN,CC23,2222,2108
2019-01,WEEKDAY,22,TRAIN,EW33,1582,2849
2019-01,WEEKENDS/HOLIDAY,22,TRAIN,EW33,1004,2467
2019-01,WEEKENDS/HOLIDAY,14,TRAIN,CC21,5028,4850
2019-01,WEEKDAY,14,TRAIN,CC21,10734,9860
2019-01,WEEKDAY,18,TRAIN,EW24-NS1,290169,236025
2019-01,WEEKENDS/HOLIDAY,18,TRAIN,EW24-NS1,56687,60516
2019-01,WEEKENDS/HOLIDAY,7,TRAIN,NE10,4008,3249
2019-01,WEEKDAY,7,TRAIN,NE10,30278,37609
2019-01,WEEKDAY,8,TRAIN,EW22,21114,77727
2019-01,WEEKENDS/HOLIDAY,8,TRAIN,EW22,2256,3049
2019-01,WEEKENDS/HOLIDAY,14,TRAIN,CC16,4039,3550
2019-01,WEEKDAY,14,TRAIN,CC16,10298,8727
2019-01,WEEKENDS/HOLIDAY,10,TRAIN,EW11,11073,9430
2019-01,WEEKDAY,10,TRAIN,EW11,27207,25799
2019-01,WEEKDAY,6,TRAIN,CC1-NE6-NS24,5216,13114
2019-01,WEEKENDS/HOLIDAY,6,TRAIN,CC1-NE6-NS24,1642,2604
2019-01,WEEKDAY,0,TRAIN,EW19,77,559
2019-01,WEEKENDS/HOLIDAY,0,TRAIN,EW19,33,272
2019-01,WEEKDAY,10,TRAIN,CC22,7988,16063
2019-01,WEEKENDS/HOLIDAY,10,TRAIN,CC22,3985,4325
2019-01,WEEKDAY,10,TRAIN,EW21,5721,8399
2019-01,WEEKENDS/HOLIDAY,10,TRAIN,EW21,4025,4827
2019-01,WEEKDAY,8,TRAIN,CC8,31622,9871
2019-01,WEEKENDS/HOLIDAY,8,TRAIN,CC8,3200,2098
2019-01,WEEKENDS/HOLIDAY,17,TRAIN,DT12,2320,5447
2019-01,WEEKENDS/HOLIDAY,17,TRAIN,NE7,20244,22575
2019-01,WEEKDAY,17,TRAIN,NE7,41323,32872
2019-01,WEEKDAY,17,TRAIN,DT12,13550,7264
2019-01,WEEKENDS/HOLIDAY,17,TRAIN,EW33,2102,1791
2019-01,WEEKDAY,17,TRAIN,EW33,11949,4109
2019-01,WEEKDAY,22,TRAIN,NS28,1093,2156
2019-01,WEEKENDS/HOLIDAY,22,TRAIN,NS28,364,584
2019-01,WEEKENDS/HOLIDAY,0,TRAIN,DT10,18,56
2019-01,WEEKDAY,0,TRAIN,DT10,26,173
2019-01,WEEKENDS/HOLIDAY,10,TRAIN,EW16,1852,3332
2019-01,WEEKDAY,10,TRAIN,NE3,18831,26077
2019-01,WEEKDAY,10,TRAIN,EW16,5919,11003
2019-01,WEEKENDS/HOLIDAY,10,TRAIN,NE3,6291,6019
2019-01,WEEKENDS/HOLIDAY,9,TRAIN,CC14,3457,1093
2019-01,WEEKDAY,9,TRAIN,CC14,15296,8539
2019-01,WEEKDAY,14,TRAIN,EW27,37853,47785
2019-01,WEEKENDS/HOLIDAY,14,TRAIN,EW27,26649,25884
2019-01,WEEKDAY,0,TRAIN,NS27,12,79
2019-01,WEEKENDS/HOLIDAY,0,TRAIN,NS27,6,40
2019-01,WEEKENDS/HOLIDAY,0,TRAIN,CE2,1,6
2019-01,WEEKDAY,0,TRAIN,CE2,0,3
2019-01,WEEKENDS/HOLIDAY,18,TRAIN,DT27,4605,3364
2019-01,WEEKDAY,18,TRAIN,DT27,36180,17464
2019-01,WEEKENDS/HOLIDAY,7,TRAIN,BP10,1736,788
2019-01,WEEKDAY,7,TRAIN,BP10,17093,4157
2019-01,WEEKENDS/HOLIDAY,15,TRAIN,NE10,5995,6188
2019-01,WEEKDAY,15,TRAIN,NE10,15033,13545
2019-01,WEEKENDS/HOLIDAY,18,TRAIN,EW22,5287,3519
2019-01,WEEKDAY,18,TRAIN,EW22,49537,33228
2019-01,WEEKDAY,15,TRAIN,CC25,5963,4693
2019-01,WEEKENDS/HOLIDAY,15,TRAIN,CC25,3145,2252
2019-01,WEEKDAY,12,TRAIN,CE1,18793,27286
2019-01,WEEKENDS/HOLIDAY,12,TRAIN,CE1,8986,15340
2019-01,WEEKENDS/HOLIDAY,12,TRAIN,DT16,408,5010
2019-01,WEEKDAY,12,TRAIN,DT16,546,5767
2019-01,WEEKDAY,10,TRAIN,SW6,4083,1567
2019-01,WEEKENDS/HOLIDAY,10,TRAIN,SW6,2181,823
2019-01,WEEKENDS/HOLIDAY,17,TRAIN,DT31,4128,3939
2019-01,WEEKDAY,17,TRAIN,DT31,11200,14865
2019-01,WEEKDAY,15,TRAIN,CC14,9589,7660
2019-01,WEEKENDS/HOLIDAY,15,TRAIN,CC14,2544,2926
2019-01,WEEKDAY,0,TRAIN,NS8,962,3129
2019-01,WEEKENDS/HOLIDAY,0,TRAIN,NS8,643,1558
2019-01,WEEKDAY,18,TRAIN,NS14,50175,103608
